feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G038800	2422.356	1150	2437.41	2008.031	2613	1885.035	2703.881	2633.327
SORBI_3001G038900	198	101	411	171	482	119	229	336
SORBI_3001G039000	2	2	9	3	3	2	2	1
SORBI_3001G039100	1	1	2	0	0	0	2	0
SORBI_3001G039200	1	3	1	3	1	1	0	0
SORBI_3001G039300	201	231	158	171	121	164	193	97
SORBI_3001G039400	854.96	911	636	712	505	612.494	1246.826	442
SORBI_3001G039500	1160.555	1554.996	820.921	1048.93	996.998	764	943.758	646
SORBI_3001G039600	351.727	421	295	350	250	256	358.946	222
SORBI_3001G039700	2039.954	2954.879	1324	1704.813	1342	1228.283	1311.997	816
SORBI_3001G039750	0	0	0	0	0	0	0	0
SORBI_3001G039800	649	826	478.92	618.991	412	404	705.01	299
SORBI_3001G039900	359	449	195.018	282	99	259	341.43	55
SORBI_3001G040000	130	181	59	109	36	88.074	160	11
SORBI_3001G040100	1407.39	2280	1036.054	1051.993	1243.637	1111	1930.456	1300.106
SORBI_3001G040200	2092.956	2661	3055.976	2561.391	5403.997	1511	1789.8	5750
SORBI_3001G040300	566.666	736	470	533	415	396	480.83	323
SORBI_3001G040400	0	1	0	0	2	0	0	0
SORBI_3001G040500	2804.54	3491	2068.744	2537	1903.941	1882.069	2317.891	1350
SORBI_3001G040600	429	318	251	306	162	398.014	481.008	154
SORBI_3001G040701	0	0	0	0	0	0	0	0
SORBI_3001G040800	6088.757	4807.999	5524.41	5590.817	5109.469	4364	7090.206	5927.983
SORBI_3001G040900	0	0	0	0	0	0	0	0
SORBI_3001G041000	127	175	141	151	96	81	186.467	42
SORBI_3001G041100	457	477.263	428	534	444	407	673.508	235
SORBI_3001G041200	278	353	219	303	247	242	317	182
SORBI_3001G041300	0	0	0	1	1	0	0	0
SORBI_3001G041400	413	386	443	421	324	344.283	476	307
SORBI_3001G041450	0	0	0	0	0	0	0	0
