feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G205400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G205500	0	0	0	0	0	0	0.11787	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G205600	0.573962	0.898126	0.48494	0.744589	0.697588	0.864437	0.838447	0.642796	0.805655	0.745024	0.804695	0.690138	0.499992	0.577436	0.297741	0.504901	0.569769	0.646212
TraesCS4A02G205700	0.194927	0.189356	0.152965	0.079552	0.056894	0.067174	0.057562	0.068953	0.094078	0.147261	0.143719	0.093721	0	0.037024	0	0.011556	0	0
TraesCS4A02G205800	7.319486	8.411112	8.426427	5.833315	4.669834	5.414529	9.019682	8.419672	8.475678	9.923848	9.033103	8.252308	5.03167	5.521674	4.225807	5.842535	5.079242	4.935322
TraesCS4A02G205900	0.003471	0	0.00387	0.00405	0	0	0.00347	0.004165	0	0	0	0.00479	0.008268	0	0.006729	0.003614	0.016062	0.004271
TraesCS4A02G206000	0.035389	0.024854	0.043418	0.011143	0.011012	0.011374	0.035483	0.023327	0.037591	0.058134	0.07662	0.05222	0.045788	0.024933	0.021774	0.009991	0.032874	0.038839
TraesCS4A02G206100	0.229862	0.126692	0.104345	0.210152	0.130055	0.106676	0.105923	0.058143	0.226819	0.167836	0.131431	0.141548	0.237136	0.268005	0.201986	0.193505	0.141306	0.287452
TraesCS4A02G206200	13.711753	15.700063	15.262149	17.173503	17.046362	16.439268	10.712831	8.820003	10.969552	13.530896	12.098977	13.619033	8.504307	8.713173	6.895652	7.883202	8.900921	10.880726
TraesCS4A02G206300	0.934425	0.862982	1.020069	0.584678	0.626811	0.528609	0.234199	0.555971	0.404932	0.618451	0.579756	0.664195	0.588565	0.440407	0.25769	0.394834	0.5196	0.431387
